text,category,char_length,word_count
Where do I go to verify my identity?,verify_my_identity,36,8
My new card hasn't came in.,card_arrival,27,6
Can I possibly change my currency to another?,exchange_via_app,45,8
There are a couple payments with my card in the app I see that I didn't create. What is happening? Maybe someone gained access to my account.,card_payment_not_recognised,141,27
I thought crypto top up with something you offered and it does not appear that it's working even though the money has disappeared out of my account. Can you tell me what's going on?,top_up_reverted,181,34
"My account shows I have been charged twice for the same meal. How do I get the second payment voided and returned to me? I do not eat out much and my family is living paycheck to paycheck, mostly. I cannot afford to spend more money than necessary, as is, so I must see to it that the cost be promptly credited back onto my card.",transaction_charged_twice,329,66
What do I do to link my new card?,card_linking,33,9
This disposable virtual card is not working.,virtual_card_not_working,44,7
I was overcharged a pound.,extra_charge_on_statement,26,5
What is the purpose for verifying my identity?,why_verify_identity,46,8
My client was converting their Russian ruble into UK pound currency when they noticed their bill was much too high for the exchange. What happened?,card_payment_wrong_exchange_rate,147,25
Why am I being charged for transfers? Are they not free?,transfer_fee_charged,56,11
"Soon my card will expire, how do I get a new one?",card_about_to_expire,49,12
I bought an item that I was charged a different exchange rate for.,card_payment_wrong_exchange_rate,66,13
Need help with a stolen card.,lost_or_stolen_card,29,6
I think my card has been compromised in some way.,compromised_card,49,10
I didn't set up the direct debit I have,direct_debit_payment_not_recognised,39,9
I am not in the UK can i get a card?,country_support,36,11
"Bank transfer to account did not show up, please help?",balance_not_updated_after_bank_transfer,54,10
can i verify my identity i the app,verify_my_identity,34,8
How can I fund another account with my American Express?,supported_cards_and_currencies,56,10
Can you transfer money to your card by bank transfer?,transfer_into_account,53,10
Does the app allow for exchanges between currencies?,exchange_via_app,52,8
Why did I only receive this much currency?,wrong_exchange_rate_for_cash_withdrawal,42,8
When I exchanged currencies the value of my money changed.,wrong_exchange_rate_for_cash_withdrawal,58,10
"I have a strange transaction for 1 on my statement, what is that?",extra_charge_on_statement,65,13
Can I use my card to withdraw from my account?,atm_support,46,10
"I want to use my card, how would I activate it?",activate_my_card,47,11
I found my card again. Can I put it back into the app?,card_linking,54,13
I see an unauthorized withdraw.,cash_withdrawal_not_recognised,31,5
I have been waiting for my top-up to complete and it still hasn't gone through.,pending_top_up,79,15
