text,category,coarse_category,roberta_pred,ensemble_pred,roberta_correct,ensemble_correct,sbert_helped,sbert_hurt
Can I change the amount I made on a payment that I made to the payment is correct.,cancel_transfer,transfers_and_payments,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,False,False,False,False
How long until my transfer goes through?,transfer_timing,transfers_and_payments,pending_transfer,pending_transfer,False,False,False,False
How long does a transfer take to be confirmed?,pending_transfer,transfers_and_payments,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,False,False,False,False
Someone transferred money to me and it doesn't show,pending_transfer,transfers_and_payments,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,False,False,False,False
There is a transaction from my account that I don't recognize can you trace back the information so I can make sure it's something I did or not?,direct_debit_payment_not_recognised,transfers_and_payments,card_payment_not_recognised,card_payment_not_recognised,False,False,False,False
Why is a money transfer not showing?,pending_transfer,transfers_and_payments,pending_transfer,transfer_not_received_by_recipient,True,False,False,True
Why is my transfer not done yet?,pending_transfer,transfers_and_payments,transfer_not_received_by_recipient,transfer_not_received_by_recipient,False,False,False,False
What all currencies can be exchanged?,exchange_via_app,general_account_management,fiat_currency_support,fiat_currency_support,False,False,False,False
I put money into my account for the minimum balance but the application didn't accept.,top_up_reverted,top_up_and_funding,top_up_limits,top_up_failed,False,False,False,False
"My card's frozen, what can I do?",pin_blocked,card_functionality,card_not_working,card_not_working,False,False,False,False
What should I do to get transactions off of my account if I didn't make them? My card must have been compromised and I need to freeze it asap!,card_payment_not_recognised,security_and_fraud,compromised_card,compromised_card,False,False,False,False
How do I locate my card?,card_arrival,card_delivery,lost_or_stolen_card,lost_or_stolen_card,False,False,False,False
"There is an incoming payment into my account, but it is deactivated. Will they still be processed?",fiat_currency_support,general_account_management,reverted_card_payment,pending_card_payment,False,False,False,False
How do I know when my card will arrive?,card_arrival,card_delivery,card_delivery_estimate,card_delivery_estimate,False,False,False,False
How do I unblock my card using the app?,card_not_working,card_functionality,pin_blocked,pin_blocked,False,False,False,False
Should i reinstall the payment app?,contactless_not_working,card_functionality,contactless_not_working,card_not_working,True,False,False,True
im not sure what this charge is for,card_payment_fee_charged,fees_and_charges,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,False,False,False,False
Where do I find the exchange rate?,exchange_charge,fees_and_charges,exchange_rate,exchange_rate,False,False,False,False
I transferred some money but the recipient is having trouble withdrawing.,transfer_not_received_by_recipient,transfers_and_payments,transfer_not_received_by_recipient,beneficiary_not_allowed,True,False,False,True
"i know i entered the right info, but my top up isn't in my balance",topping_up_by_card,top_up_and_funding,pending_top_up,top_up_failed,False,False,False,False
How long can I expect a transfer to pend for?,pending_transfer,transfers_and_payments,pending_transfer,transfer_timing,True,False,False,True
When will my transfer be available in my account.,balance_not_updated_after_bank_transfer,account_and_balance,transfer_timing,transfer_timing,False,False,False,False
I was charged on my account that shouldn't be there.,direct_debit_payment_not_recognised,transfers_and_payments,card_payment_not_recognised,card_payment_not_recognised,False,False,False,False
how many transactions can i make with a disposable card,get_disposable_virtual_card,virtual_card,disposable_card_limits,disposable_card_limits,False,False,False,False
What other methods are there to verify my identity?,why_verify_identity,security_and_fraud,verify_my_identity,verify_my_identity,False,False,False,False
Can I get a copy of the card by email?,getting_virtual_card,virtual_card,order_physical_card,order_physical_card,False,False,False,False
Where did this fee come from?,extra_charge_on_statement,fees_and_charges,card_payment_fee_charged,card_payment_fee_charged,False,False,False,False
"I was double charged, and the second charge is showing as ""pending"". How long will it be before I get my money back once the second charge has been refunded?",pending_card_payment,transfers_and_payments,transaction_charged_twice,transaction_charged_twice,False,False,False,False
I see a charge on my account that I don't recall making. I feel like my account may have been compromised.,card_payment_not_recognised,security_and_fraud,compromised_card,compromised_card,False,False,False,False
My non-physical card will not work,virtual_card_not_working,virtual_card,card_not_working,card_not_working,False,False,False,False
Good morning. I tried to make a purchase with my credit card last night and again this morning. Both times it was declined. Can you investigate?,declined_transfer,transfers_and_payments,declined_card_payment,declined_card_payment,False,False,False,False
"I need support options, I want to top my card",supported_cards_and_currencies,general_account_management,topping_up_by_card,topping_up_by_card,False,False,False,False
I am concerned about the security in my account and would like to make a dispute.,direct_debit_payment_not_recognised,transfers_and_payments,compromised_card,compromised_card,False,False,False,False
Can I top up using my car?,topping_up_by_card,top_up_and_funding,top_up_by_cash_or_cheque,automatic_top_up,False,False,False,False
Is there a transfer fee?,transfer_fee_charged,fees_and_charges,transfer_fee_charged,top_up_by_bank_transfer_charge,True,False,False,True
Can I add funds to the card directly from my bank account?,transfer_into_account,transfers_and_payments,topping_up_by_card,topping_up_by_card,False,False,False,False
Do you accept other currencies besides US Dollars?,supported_cards_and_currencies,general_account_management,fiat_currency_support,fiat_currency_support,False,False,False,False
